Enrollment, S1401_C01_001E, Year
Mississippi, 830815, 2011
Missouri, 1569557, 2011
Montana, 242981, 2011
Nebraska, 515647, 2011
Nevada, 684009, 2011
New Hampshire, 324586, 2011
New Jersey, 2289399, 2011
New Mexico, 571157, 2011
New York, 5020940, 2011
North Carolina, 2557304, 2011
North Dakota, 172936, 2011
Ohio, 3077214, 2011
Oklahoma, 994523, 2011
Oregon, 973213, 2011
Pennsylvania, 3177813, 2011
Rhode Island, 277923, 2011
South Carolina, 1199462, 2011
South Dakota, 219022, 2011
Tennessee, 1594654, 2011
Texas, 7320055, 2011
Utah, 926365, 2011
Vermont, 155911, 2011
Virginia, 2156250, 2011
Washington, 1710462, 2011
West Virginia, 420204, 2011
Wisconsin, 1506580, 2011
Wyoming, 145877, 2011
Puerto Rico, 991812, 2011
Alabama, 1220639, 2012
Alaska, 195535, 2012
Arizona, 1753081, 2012
Arkansas, 752357, 2012
California, 10678252, 2012
Colorado, 1395046, 2012
Delaware, 236066, 2012
District of Columbia, 159737, 2012
Connecticut, 954957, 2012
Florida, 4688008, 2012
Georgia, 2797844, 2012
Idaho, 454364, 2012
Hawaii, 336071, 2012
Illinois, 3478102, 2012
Indiana, 1753514, 2012
Iowa, 809898, 2012
Kansas, 802896, 2012
Kentucky, 1108468, 2012
Louisiana, 1207176, 2012
Maine, 306571, 2012
Maryland, 1580906, 2012
Massachusetts, 1761641, 2012
Michigan, 2652338, 2012
Minnesota, 1414524, 2012
Mississippi, 830938, 2012
Missouri, 1552442, 2012
Montana, 231634, 2012
Nebraska, 510963, 2012
Nevada, 680801, 2012
New Hampshire, 323979, 2012
New Jersey, 2294691, 2012
New Mexico, 572854, 2012
New York, 5029814, 2012
North Carolina, 2550114, 2012
North Dakota, 177584, 2012
Ohio, 3013300, 2012
Oklahoma, 985249, 2012
Oregon, 982675, 2012
Pennsylvania, 3108390, 2012
Rhode Island, 275680, 2012
South Carolina, 1201763, 2012
South Dakota, 217047, 2012
Tennessee, 1605001, 2012
Texas, 7389940, 2012
Vermont, 154731, 2012
Utah, 932634, 2012
Virginia, 2173528, 2012
Washington, 1718203, 2012
West Virginia, 419145, 2012
Wisconsin, 1500226, 2012
Wyoming, 154543, 2012
Puerto Rico, 983155, 2012
Mississippi, 810969, 2013
Missouri, 1549456, 2013
Montana, 238510, 2013
Nebraska, 517420, 2013
Nevada, 682666, 2013
New Hampshire, 318912, 2013
New Jersey, 2265632, 2013
New Mexico, 565242, 2013
New York, 4957486, 2013
North Carolina, 2560742, 2013
North Dakota, 180316, 2013
Ohio, 2952357, 2013
Oklahoma, 994407, 2013
Oregon, 961860, 2013
Pennsylvania, 3053479, 2013
Rhode Island, 263971, 2013
South Carolina, 1210706, 2013
South Dakota, 219960, 2013
Tennessee, 1597851, 2013
Texas, 7416105, 2013
Vermont, 146569, 2013
Utah, 945104, 2013
Virginia, 2157510, 2013
Washington, 1722089, 2013
West Virginia, 414610, 2013
Wisconsin, 1485800, 2013
Wyoming, 151054, 2013
Puerto Rico, 942530, 2013
Alabama, 1209237, 2013
Alaska, 200784, 2013
Arizona, 1739889, 2013
Arkansas, 750149, 2013
California, 10548455, 2013
Colorado, 1400453, 2013
Delaware, 229133, 2013
District of Columbia, 162510, 2013
Connecticut, 939762, 2013
Florida, 4643948, 2013
Georgia, 2784646, 2013
Idaho, 435040, 2013
Hawaii, 338688, 2013
Illinois, 3441460, 2013
Indiana, 1726742, 2013
Iowa, 815675, 2013
Kansas, 797058, 2013
Kentucky, 1105248, 2013
Louisiana, 1168161, 2013
Maine, 300221, 2013
Maryland, 1562663, 2013
Massachusetts, 1750853, 2013
Michigan, 2594352, 2013
Minnesota, 1409344, 2013
Alabama, 1190580, 2014
Alaska, 195830, 2014
Arizona, 1757664, 2014
Arkansas, 746254, 2014
California, 10531321, 2014
Colorado, 1404518, 2014
Delaware, 235650, 2014
District of Columbia, 164598, 2014
Connecticut, 928526, 2014
Florida, 4674255, 2014
Georgia, 2780545, 2014
Idaho, 445627, 2014
Hawaii, 335539, 2014
Illinois, 3379651, 2014
Indiana, 1727143, 2014
Iowa, 804095, 2014
Kansas, 785489, 2014
Kentucky, 1078943, 2014
Louisiana, 1179507, 2014
Maine, 296931, 2014
Maryland, 1563158, 2014
Massachusetts, 1737678, 2014
Michigan, 2555615, 2014
Minnesota, 1398073, 2014
Mississippi, 806652, 2014
Missouri, 1537651, 2014
Montana, 236766, 2014
Nebraska, 501598, 2014
Nevada, 699683, 2014
New Hampshire, 314674, 2014
New Jersey, 2272659, 2014
New Mexico, 560799, 2014
New York, 4874923, 2014
North Carolina, 2556055, 2014
North Dakota, 182606, 2014
Ohio, 2901361, 2014
Oklahoma, 997987, 2014
Oregon, 956494, 2014
Pennsylvania, 3011245, 2014
Rhode Island, 267358, 2014
South Carolina, 1207095, 2014
South Dakota, 223281, 2014
Tennessee, 1589191, 2014
Texas, 7467266, 2014
Vermont, 146261, 2014
Utah, 953887, 2014
Virginia, 2168651, 2014
Washington, 1725154, 2014
West Virginia, 411243, 2014
Wisconsin, 1451402, 2014
Wyoming, 144582, 2014
Puerto Rico, 921168, 2014
Mississippi, 796722, 2015
Missouri, 1511239, 2015
Montana, 233966, 2015
Nebraska, 505827, 2015
Nevada, 699775, 2015
New Hampshire, 314478, 2015
New Jersey, 2246090, 2015
New Mexico, 545265, 2015
New York, 4878140, 2015
North Carolina, 2507958, 2015
North Dakota, 181102, 2015
Ohio, 2879469, 2015
Oklahoma, 1025729, 2015
Oregon, 950559, 2015
Pennsylvania, 2999437, 2015
Rhode Island, 262347, 2015
South Carolina, 1198207, 2015
South Dakota, 212152, 2015
Tennessee, 1565318, 2015
Texas, 7540957, 2015
Vermont, 150285, 2015
Utah, 954586, 2015
Virginia, 2143693, 2015
Washington, 1728161, 2015
West Virginia, 399802, 2015
Wisconsin, 1429175, 2015
Wyoming, 148772, 2015
Puerto Rico, 892872, 2015
Alabama, 1191243, 2015
Alaska, 189880, 2015
Arizona, 1739821, 2015
Arkansas, 742104, 2015
California, 10484707, 2015
Colorado, 1395429, 2015
Delaware, 233348, 2015
District of Columbia, 166940, 2015
Connecticut, 913807, 2015
Florida, 4706933, 2015
Georgia, 2760000, 2015
Idaho, 439310, 2015
Hawaii, 330445, 2015
Illinois, 3325495, 2015
Indiana, 1693308, 2015
Iowa, 809269, 2015
Kansas, 783366, 2015
Kentucky, 1062437, 2015
Louisiana, 1174717, 2015
Maine, 289749, 2015
Maryland, 1565730, 2015
Massachusetts, 1732925, 2015
Michigan, 2495741, 2015
Minnesota, 1382373, 2015
Mississippi, 781666, 2016
Missouri, 1507305, 2016
Montana, 242914, 2016
Nebraska, 505491, 2016
Nevada, 700680, 2016
New Hampshire, 307848, 2016
New Jersey, 2239783, 2016
New Mexico, 539773, 2016
New York, 4843659, 2016
North Carolina, 2523926, 2016
North Dakota, 181543, 2016
Ohio, 2830005, 2016
Oklahoma, 1004589, 2016
Oregon, 960446, 2016
Pennsylvania, 2975685, 2016
Rhode Island, 264768, 2016
South Carolina, 1209286, 2016
South Dakota, 218239, 2016
Tennessee, 1578309, 2016
Texas, 7603170, 2016
Vermont, 143386, 2016
Utah, 973643, 2016
Virginia, 2146237, 2016
Washington, 1744806, 2016
West Virginia, 394881, 2016
Wisconsin, 1428041, 2016
Wyoming, 151204, 2016
Puerto Rico, 846874, 2016
Alabama, 1186076, 2016
Alaska, 187359, 2016
Arizona, 1761534, 2016
Arkansas, 739490, 2016
California, 10490279, 2016
Colorado, 1382107, 2016
Delaware, 227224, 2016
District of Columbia, 168430, 2016
Connecticut, 914755, 2016
Florida, 4718808, 2016
Georgia, 2747236, 2016
Idaho, 454191, 2016
Hawaii, 331540, 2016
Illinois, 3286606, 2016
Indiana, 1684219, 2016
Iowa, 804741, 2016
Kansas, 774902, 2016
Kentucky, 1085033, 2016
Louisiana, 1172916, 2016
Maine, 293857, 2016
Maryland, 1540625, 2016
Massachusetts, 1737713, 2016
Michigan, 2488397, 2016
Minnesota, 1392956, 2016
Mississippi, 779151, 2017
Missouri, 1484234, 2017
Montana, 236016, 2017
Nebraska, 507288, 2017
Nevada, 697092, 2017
New Hampshire, 300223, 2017
New Jersey, 2226989, 2017
New Mexico, 536849, 2017
New York, 4794761, 2017
North Carolina, 2521781, 2017
North Dakota, 179366, 2017
Ohio, 2812859, 2017
Oklahoma, 1011241, 2017
Oregon, 953051, 2017
Pennsylvania, 2941997, 2017
Rhode Island, 260894, 2017
South Carolina, 1183515, 2017
South Dakota, 214085, 2017
Tennessee, 1573379, 2017
Texas, 7679163, 2017
Vermont, 144025, 2017
Utah, 984783, 2017
Virginia, 2138155, 2017
Washington, 1750825, 2017
West Virginia, 397036, 2017
Wisconsin, 1411349, 2017
Wyoming, 147108, 2017
Puerto Rico, 804711, 2017
Alabama, 1188014, 2017
Alaska, 186461, 2017
Arizona, 1757544, 2017
Arkansas, 743696, 2017
California, 10455915, 2017
Colorado, 1394563, 2017
Delaware, 233046, 2017
District of Columbia, 167649, 2017
Connecticut, 898609, 2017
Florida, 4770596, 2017
Georgia, 2748599, 2017
Idaho, 454019, 2017
Hawaii, 324608, 2017
Illinois, 3216701, 2017
Indiana, 1661841, 2017
Iowa, 802489, 2017
Kansas, 777271, 2017
Kentucky, 1051294, 2017
Louisiana, 1176248, 2017
Maine, 289898, 2017
Maryland, 1536509, 2017
Massachusetts, 1714245, 2017
Michigan, 2452202, 2017
Minnesota, 1404105, 2017
Wisconsin, 1391258, 2018
Wyoming, 144493, 2018
Puerto Rico, 742847, 2018
Mississippi, 772346, 2018
Missouri, 1469063, 2018
Montana, 238739, 2018
Nebraska, 505974, 2018
Nevada, 701302, 2018
New Hampshire, 303448, 2018
New Jersey, 2194158, 2018
New Mexico, 521738, 2018
New York, 4672225, 2018
North Carolina, 2520040, 2018
North Dakota, 187877, 2018
Ohio, 2777251, 2018
Oklahoma, 1003616, 2018
Oregon, 961805, 2018
Pennsylvania, 2926454, 2018
Rhode Island, 245923, 2018
South Carolina, 1202171, 2018
South Dakota, 219023, 2018
Tennessee, 1583282, 2018
Texas, 7735600, 2018
Vermont, 141446, 2018
Utah, 1011152, 2018
Virginia, 2124272, 2018
Washington, 1776612, 2018
West Virginia, 376972, 2018
Alabama, 1174781, 2018
Alaska, 185581, 2018
Arizona, 1762743, 2018
Arkansas, 723650, 2018
California, 10383463, 2018
Colorado, 1404986, 2018
Delaware, 223499, 2018
District of Columbia, 173303, 2018
Connecticut, 887421, 2018
Florida, 4811682, 2018
Georgia, 2776278, 2018
Idaho, 451266, 2018
Hawaii, 325091, 2018
Illinois, 3173587, 2018
Indiana, 1657592, 2018
Iowa, 791595, 2018
Kansas, 770432, 2018
Kentucky, 1049367, 2018
Louisiana, 1149802, 2018
Maine, 270425, 2018
Maryland, 1526382, 2018
Massachusetts, 1732315, 2018
Michigan, 2399567, 2018
Minnesota, 1403727, 2018
Mississippi, 754558, 2019
Missouri, 1444801, 2019
Montana, 242758, 2019
Nebraska, 507156, 2019
Nevada, 707075, 2019
New Hampshire, 298926, 2019
New Jersey, 2192217, 2019
New Mexico, 516495, 2019
New York, 4594259, 2019
North Carolina, 2556961, 2019
North Dakota, 187040, 2019
Ohio, 2771284, 2019
Oklahoma, 999896, 2019
Oregon, 947627, 2019
Pennsylvania, 2896469, 2019
Rhode Island, 253795, 2019
South Carolina, 1180396, 2019
South Dakota, 214461, 2019
Tennessee, 1572331, 2019
Texas, 7763174, 2019
Vermont, 144066, 2019
Utah, 1012792, 2019
Virginia, 2118036, 2019
Washington, 1764122, 2019
West Virginia, 373698, 2019
Wisconsin, 1384039, 2019
Wyoming, 146180, 2019
Puerto Rico, 747920, 2019
Georgia, 2771807, 2019
Idaho, 457955, 2019
Hawaii, 317419, 2019
Illinois, 3123418, 2019
Indiana, 1646376, 2019
Iowa, 783468, 2019
Kansas, 753423, 2019
Kentucky, 1025269, 2019
Louisiana, 1149360, 2019
Maine, 275036, 2019
Maryland, 1509619, 2019
Massachusetts, 1691491, 2019
Michigan, 2387441, 2019
Minnesota, 1386106, 2019
Connecticut, 882104, 2019
Florida, 4795224, 2019
Alabama, 1164195, 2019
Alaska, 180074, 2019
Arizona, 1773809, 2019
Arkansas, 738272, 2019
California, 10305759, 2019
Colorado, 1406414, 2019
Delaware, 227551, 2019
District of Columbia, 169418, 2019
